C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_071.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_071.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_071.jpg, 0, 0, 0, 0.0002067197
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_186.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_186.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_186.jpg, 0, 0, 0, 0.0002308205
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_290.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_290.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_290.jpg, 0, 0, 0, 0.0002243007
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_394.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_394.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_394.jpg, 0, 0, 0, 0.0002222075
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_497.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_497.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_497.jpg, 0, 0, 0, 0.0002156022
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_601.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_601.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_601.jpg, 0, 0, 0, 0.0002222887
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_702.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_702.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_702.jpg, 0, 0, 0, 0.0002082792
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_805.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_805.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_805.jpg, 0, 0, 0, 0.0002220409
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_36_908.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_36_908.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_36_908.jpg, 0, 0, 0, 0.000210898
C:\Users\ACER\Desktop\simulator-windows-64\IMG\center_2020_02_18_23_07_37_015.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\left_2020_02_18_23_07_37_015.jpg, C:\Users\ACER\Desktop\simulator-windows-64\IMG\right_2020_02_18_23_07_37_015.jpg, 0, 0, 0, 0.0002223778
